"plh0108","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Quite unimportant","2004","Other degree","(3a) lower tertiary education","2","","",""
"Quite unimportant","2004","Other degree","(3b) higher tertiary education","23","","",""
"Quite unimportant","2004","no degree/no degree yet","(0) in school","47","0.085831625489839","0.0639756509294599","0.107687600050218"
"Quite unimportant","2004","no degree/no degree yet","(1a) inadequately completed","57","0.224786372477643","0.173750303222258","0.275822441733029"
"Quite unimportant","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"Quite unimportant","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Quite unimportant","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Quite unimportant","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Quite unimportant","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Quite unimportant","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Very important","2005","lower secondary degree","(0) in school","","","",""
"Very important","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Very important","2005","lower secondary degree","(1b) general elementary school","","","",""
"Very important","2005","lower secondary degree","(1c) basic vocational qualification","","","",""
"Very important","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very important","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Very important","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very important","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"Very important","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"Very important","2005","secondary school degree","(0) in school","","","",""
"Very important","2005","secondary school degree","(1a) inadequately completed","","","",""
"Very important","2005","secondary school degree","(1b) general elementary school","","","",""
"Very important","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Very important","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"Very important","2005","secondary school degree","(2a) intermediate vocational","","","",""
"Very important","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very important","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","2005","secondary school degree","(3a) lower tertiary education","","","",""
"Very important","2005","secondary school degree","(3b) higher tertiary education","","","",""
"Very important","2005","college entrance qualification","(0) in school","","","",""
"Very important","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Very important","2005","college entrance qualification","(1b) general elementary school","","","",""
"Very important","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very important","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very important","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Very important","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Very important","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Very important","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"Very important","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"Very important","2005","Other degree","(0) in school","","","",""
"Very important","2005","Other degree","(1a) inadequately completed","","","",""
"Very important","2005","Other degree","(1b) general elementary school","","","",""
"Very important","2005","Other degree","(1c) basic vocational qualification","","","",""
"Very important","2005","Other degree","(2b) intermediate general qualification","","","",""
"Very important","2005","Other degree","(2a) intermediate vocational","","","",""
"Very important","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"Very important","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","2005","Other degree","(3a) lower tertiary education","","","",""
"Very important","2005","Other degree","(3b) higher tertiary education","","","",""
"Very important","2005","no degree/no degree yet","(0) in school","","","",""
"Very important","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"Very important","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Very important","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very important","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very important","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very important","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very important","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very important","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very important","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Important","2005","lower secondary degree","(0) in school","","","",""
"Important","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Important","2005","lower secondary degree","(1b) general elementary school","","","",""
"Important","2005","lower secondary degree","(1c) basic vocational qualification","","","",""
"Important","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Important","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Important","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Important","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"Important","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"Important","2005","secondary school degree","(0) in school","","","",""
"Important","2005","secondary school degree","(1a) inadequately completed","","","",""
"Important","2005","secondary school degree","(1b) general elementary school","","","",""
"Important","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Important","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"Important","2005","secondary school degree","(2a) intermediate vocational","","","",""
"Important","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Important","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2005","secondary school degree","(3a) lower tertiary education","","","",""
"Important","2005","secondary school degree","(3b) higher tertiary education","","","",""
"Important","2005","college entrance qualification","(0) in school","","","",""
"Important","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Important","2005","college entrance qualification","(1b) general elementary school","","","",""
"Important","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Important","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Important","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Important","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Important","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Important","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"Important","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"Important","2005","Other degree","(0) in school","","","",""
"Important","2005","Other degree","(1a) inadequately completed","","","",""
"Important","2005","Other degree","(1b) general elementary school","","","",""
"Important","2005","Other degree","(1c) basic vocational qualification","","","",""
"Important","2005","Other degree","(2b) intermediate general qualification","","","",""
"Important","2005","Other degree","(2a) intermediate vocational","","","",""
"Important","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"Important","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2005","Other degree","(3a) lower tertiary education","","","",""
"Important","2005","Other degree","(3b) higher tertiary education","","","",""
"Important","2005","no degree/no degree yet","(0) in school","","","",""
"Important","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"Important","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Important","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Important","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Important","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Important","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Important","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Important","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Important","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Less important","2005","lower secondary degree","(0) in school","","","",""
"Less important","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Less important","2005","lower secondary degree","(1b) general elementary school","","","",""
"Less important","2005","lower secondary degree","(1c) basic vocational qualification","","","",""
"Less important","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Less important","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Less important","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Less important","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"Less important","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"Less important","2005","secondary school degree","(0) in school","","","",""
"Less important","2005","secondary school degree","(1a) inadequately completed","","","",""
"Less important","2005","secondary school degree","(1b) general elementary school","","","",""
"Less important","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Less important","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"Less important","2005","secondary school degree","(2a) intermediate vocational","","","",""
"Less important","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Less important","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2005","secondary school degree","(3a) lower tertiary education","","","",""
"Less important","2005","secondary school degree","(3b) higher tertiary education","","","",""
"Less important","2005","college entrance qualification","(0) in school","","","",""
"Less important","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Less important","2005","college entrance qualification","(1b) general elementary school","","","",""
"Less important","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Less important","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Less important","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Less important","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Less important","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Less important","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"Less important","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"Less important","2005","Other degree","(0) in school","","","",""
"Less important","2005","Other degree","(1a) inadequately completed","","","",""
"Less important","2005","Other degree","(1b) general elementary school","","","",""
"Less important","2005","Other degree","(1c) basic vocational qualification","","","",""
"Less important","2005","Other degree","(2b) intermediate general qualification","","","",""
"Less important","2005","Other degree","(2a) intermediate vocational","","","",""
"Less important","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"Less important","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2005","Other degree","(3a) lower tertiary education","","","",""
"Less important","2005","Other degree","(3b) higher tertiary education","","","",""
"Less important","2005","no degree/no degree yet","(0) in school","","","",""
"Less important","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"Less important","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Less important","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Less important","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Less important","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Less important","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Less important","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Less important","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Less important","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Quite unimportant","2005","lower secondary degree","(0) in school","","","",""
"Quite unimportant","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Quite unimportant","2005","lower secondary degree","(1b) general elementary school","","","",""
"Quite unimportant","2005","lower secondary degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Quite unimportant","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"Quite unimportant","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"Quite unimportant","2005","secondary school degree","(0) in school","","","",""
"Quite unimportant","2005","secondary school degree","(1a) inadequately completed","","","",""
"Quite unimportant","2005","secondary school degree","(1b) general elementary school","","","",""
"Quite unimportant","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","2005","secondary school degree","(2a) intermediate vocational","","","",""
"Quite unimportant","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2005","secondary school degree","(3a) lower tertiary education","","","",""
"Quite unimportant","2005","secondary school degree","(3b) higher tertiary education","","","",""
"Quite unimportant","2005","college entrance qualification","(0) in school","","","",""
"Quite unimportant","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Quite unimportant","2005","college entrance qualification","(1b) general elementary school","","","",""
"Quite unimportant","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Quite unimportant","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Quite unimportant","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Quite unimportant","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"Quite unimportant","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"Quite unimportant","2005","Other degree","(0) in school","","","",""
"Quite unimportant","2005","Other degree","(1a) inadequately completed","","","",""
"Quite unimportant","2005","Other degree","(1b) general elementary school","","","",""
"Quite unimportant","2005","Other degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","2005","Other degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","2005","Other degree","(2a) intermediate vocational","","","",""
"Quite unimportant","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2005","Other degree","(3a) lower tertiary education","","","",""
"Quite unimportant","2005","Other degree","(3b) higher tertiary education","","","",""
"Quite unimportant","2005","no degree/no degree yet","(0) in school","","","",""
"Quite unimportant","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"Quite unimportant","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Quite unimportant","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Quite unimportant","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Quite unimportant","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Quite unimportant","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Quite unimportant","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Very important","2006","lower secondary degree","(0) in school","","","",""
"Very important","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Very important","2006","lower secondary degree","(1b) general elementary school","","","",""
"Very important","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"Very important","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very important","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"Very important","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very important","2006","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","2006","lower secondary degree","(3a) lower tertiary education","","","",""
"Very important","2006","lower secondary degree","(3b) higher tertiary education","","","",""
"Very important","2006","secondary school degree","(0) in school","","","",""
"Very important","2006","secondary school degree","(1a) inadequately completed","","","",""
"Very important","2006","secondary school degree","(1b) general elementary school","","","",""
"Very important","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"Very important","2006","secondary school degree","(2b) intermediate general qualification","","","",""
"Very important","2006","secondary school degree","(2a) intermediate vocational","","","",""
"Very important","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very important","2006","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","2006","secondary school degree","(3a) lower tertiary education","","","",""
"Very important","2006","secondary school degree","(3b) higher tertiary education","","","",""
"Very important","2006","college entrance qualification","(0) in school","","","",""
"Very important","2006","college entrance qualification","(1a) inadequately completed","","","",""
"Very important","2006","college entrance qualification","(1b) general elementary school","","","",""
"Very important","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very important","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very important","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"Very important","2006","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Very important","2006","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Very important","2006","college entrance qualification","(3a) lower tertiary education","","","",""
"Very important","2006","college entrance qualification","(3b) higher tertiary education","","","",""
"Very important","2006","Other degree","(0) in school","","","",""
"Very important","2006","Other degree","(1a) inadequately completed","","","",""
"Very important","2006","Other degree","(1b) general elementary school","","","",""
"Very important","2006","Other degree","(1c) basic vocational qualification","","","",""
"Very important","2006","Other degree","(2b) intermediate general qualification","","","",""
"Very important","2006","Other degree","(2a) intermediate vocational","","","",""
"Very important","2006","Other degree","(2c_gen) general maturity certificate","","","",""
"Very important","2006","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","2006","Other degree","(3a) lower tertiary education","","","",""
"Very important","2006","Other degree","(3b) higher tertiary education","","","",""
"Very important","2006","no degree/no degree yet","(0) in school","","","",""
"Very important","2006","no degree/no degree yet","(1a) inadequately completed","","","",""
"Very important","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"Very important","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very important","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very important","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very important","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very important","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very important","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very important","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Important","2006","lower secondary degree","(0) in school","","","",""
"Important","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Important","2006","lower secondary degree","(1b) general elementary school","","","",""
"Important","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"Important","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"Important","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"Important","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Important","2006","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2006","lower secondary degree","(3a) lower tertiary education","","","",""
"Important","2006","lower secondary degree","(3b) higher tertiary education","","","",""
"Important","2006","secondary school degree","(0) in school","","","",""
"Important","2006","secondary school degree","(1a) inadequately completed","","","",""
"Important","2006","secondary school degree","(1b) general elementary school","","","",""
"Important","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"Important","2006","secondary school degree","(2b) intermediate general qualification","","","",""
"Important","2006","secondary school degree","(2a) intermediate vocational","","","",""
"Important","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Important","2006","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2006","secondary school degree","(3a) lower tertiary education","","","",""
"Important","2006","secondary school degree","(3b) higher tertiary education","","","",""
"Important","2006","college entrance qualification","(0) in school","","","",""
"Important","2006","college entrance qualification","(1a) inadequately completed","","","",""
"Important","2006","college entrance qualification","(1b) general elementary school","","","",""
"Important","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"Important","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"Important","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"Important","2006","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Important","2006","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Important","2006","college entrance qualification","(3a) lower tertiary education","","","",""
"Important","2006","college entrance qualification","(3b) higher tertiary education","","","",""
"Important","2006","Other degree","(0) in school","","","",""
"Important","2006","Other degree","(1a) inadequately completed","","","",""
"Important","2006","Other degree","(1b) general elementary school","","","",""
"Important","2006","Other degree","(1c) basic vocational qualification","","","",""
"Important","2006","Other degree","(2b) intermediate general qualification","","","",""
"Important","2006","Other degree","(2a) intermediate vocational","","","",""
"Important","2006","Other degree","(2c_gen) general maturity certificate","","","",""
"Important","2006","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2006","Other degree","(3a) lower tertiary education","","","",""
"Important","2006","Other degree","(3b) higher tertiary education","","","",""
"Important","2006","no degree/no degree yet","(0) in school","","","",""
"Important","2006","no degree/no degree yet","(1a) inadequately completed","","","",""
"Important","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"Important","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Important","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Important","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Important","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Important","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Important","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Important","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Less important","2006","lower secondary degree","(0) in school","","","",""
"Less important","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Less important","2006","lower secondary degree","(1b) general elementary school","","","",""
"Less important","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"Less important","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"Less important","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"Less important","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Less important","2006","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2006","lower secondary degree","(3a) lower tertiary education","","","",""
"Less important","2006","lower secondary degree","(3b) higher tertiary education","","","",""
"Less important","2006","secondary school degree","(0) in school","","","",""
"Less important","2006","secondary school degree","(1a) inadequately completed","","","",""
"Less important","2006","secondary school degree","(1b) general elementary school","","","",""
"Less important","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"Less important","2006","secondary school degree","(2b) intermediate general qualification","","","",""
"Less important","2006","secondary school degree","(2a) intermediate vocational","","","",""
"Less important","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Less important","2006","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2006","secondary school degree","(3a) lower tertiary education","","","",""
"Less important","2006","secondary school degree","(3b) higher tertiary education","","","",""
"Less important","2006","college entrance qualification","(0) in school","","","",""
"Less important","2006","college entrance qualification","(1a) inadequately completed","","","",""
"Less important","2006","college entrance qualification","(1b) general elementary school","","","",""
"Less important","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"Less important","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"Less important","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"Less important","2006","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Less important","2006","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Less important","2006","college entrance qualification","(3a) lower tertiary education","","","",""
"Less important","2006","college entrance qualification","(3b) higher tertiary education","","","",""
"Less important","2006","Other degree","(0) in school","","","",""
"Less important","2006","Other degree","(1a) inadequately completed","","","",""
"Less important","2006","Other degree","(1b) general elementary school","","","",""
"Less important","2006","Other degree","(1c) basic vocational qualification","","","",""
"Less important","2006","Other degree","(2b) intermediate general qualification","","","",""
"Less important","2006","Other degree","(2a) intermediate vocational","","","",""
"Less important","2006","Other degree","(2c_gen) general maturity certificate","","","",""
"Less important","2006","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2006","Other degree","(3a) lower tertiary education","","","",""
"Less important","2006","Other degree","(3b) higher tertiary education","","","",""
"Less important","2006","no degree/no degree yet","(0) in school","","","",""
"Less important","2006","no degree/no degree yet","(1a) inadequately completed","","","",""
"Less important","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"Less important","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Less important","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Less important","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Less important","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Less important","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Less important","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Less important","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Quite unimportant","2006","lower secondary degree","(0) in school","","","",""
"Quite unimportant","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Quite unimportant","2006","lower secondary degree","(1b) general elementary school","","","",""
"Quite unimportant","2006","lower secondary degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"Quite unimportant","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2006","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2006","lower secondary degree","(3a) lower tertiary education","","","",""
"Quite unimportant","2006","lower secondary degree","(3b) higher tertiary education","","","",""
"Quite unimportant","2006","secondary school degree","(0) in school","","","",""
"Quite unimportant","2006","secondary school degree","(1a) inadequately completed","","","",""
"Quite unimportant","2006","secondary school degree","(1b) general elementary school","","","",""
"Quite unimportant","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","2006","secondary school degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","2006","secondary school degree","(2a) intermediate vocational","","","",""
"Quite unimportant","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2006","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2006","secondary school degree","(3a) lower tertiary education","","","",""
"Quite unimportant","2006","secondary school degree","(3b) higher tertiary education","","","",""
"Quite unimportant","2006","college entrance qualification","(0) in school","","","",""
"Quite unimportant","2006","college entrance qualification","(1a) inadequately completed","","","",""
"Quite unimportant","2006","college entrance qualification","(1b) general elementary school","","","",""
"Quite unimportant","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"Quite unimportant","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"Quite unimportant","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"Quite unimportant","2006","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2006","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2006","college entrance qualification","(3a) lower tertiary education","","","",""
"Quite unimportant","2006","college entrance qualification","(3b) higher tertiary education","","","",""
"Quite unimportant","2006","Other degree","(0) in school","","","",""
"Quite unimportant","2006","Other degree","(1a) inadequately completed","","","",""
"Quite unimportant","2006","Other degree","(1b) general elementary school","","","",""
"Quite unimportant","2006","Other degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","2006","Other degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","2006","Other degree","(2a) intermediate vocational","","","",""
"Quite unimportant","2006","Other degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2006","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2006","Other degree","(3a) lower tertiary education","","","",""
"Quite unimportant","2006","Other degree","(3b) higher tertiary education","","","",""
"Quite unimportant","2006","no degree/no degree yet","(0) in school","","","",""
"Quite unimportant","2006","no degree/no degree yet","(1a) inadequately completed","","","",""
"Quite unimportant","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"Quite unimportant","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Quite unimportant","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Quite unimportant","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Quite unimportant","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Quite unimportant","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Very important","2007","lower secondary degree","(0) in school","","","",""
"Very important","2007","lower secondary degree","(1a) inadequately completed","","","",""
